title,description,category,address
Poor infrastructure in local school,Every day we deal with fans and lights don’t work in the classrooms. Authorities need to stop ignoring these basic needs.,Education,"101, MG Road, Bangalore, Karnataka 560001"
Lack of teachers affecting students,There's an ongoing issue where students carry water bottles because school doesn’t have clean water. Please ensure someone investigates and resolves this.,Education,"101, MG Road, Bangalore, Karnataka 560001"
No clean water or toilet at school,The community is fed up with fans and lights don’t work in the classrooms. We pay taxes — where is the basic infrastructure?,Education,"101, MG Road, Bangalore, Karnataka 560001"
Lack of teachers affecting students,Hard to believe but children sit on the floor as there are no benches. This should not be the standard of living in our city.,Education,"101, MG Road, Bangalore, Karnataka 560001"
Law enforcement not responsive,I’ve written before about not a single policeman is seen after dark. This should not be the standard of living in our city.,Law & Order,"101, MG Road, Bangalore, Karnataka 560001"
Safety concern due to poor patrolling,Residents are repeatedly facing police station is far and rarely responds quickly. We pay taxes — where is the basic infrastructure?,Law & Order,"101, MG Road, Bangalore, Karnataka 560001"
Police presence nearly zero,Can someone explain why chain snatching has become a regular affair here. Authorities need to stop ignoring these basic needs.,Law & Order,"101, MG Road, Bangalore, Karnataka 560001"
Safety concern due to poor patrolling,It's high time someone fixed women feel unsafe walking after 7 PM. Please ensure someone investigates and resolves this.,Law & Order,"101, MG Road, Bangalore, Karnataka 560001"
Law enforcement not responsive,I'm genuinely concerned because police station is far and rarely responds quickly. Authorities need to stop ignoring these basic needs.,Law & Order,"101, MG Road, Bangalore, Karnataka 560001"
Illegal waste burning polluting air,It's really frustrating that kids are falling sick due to dust and smoke. Authorities need to stop ignoring these basic needs.,Pollution,"101, MG Road, Bangalore, Karnataka 560001"
Pollution levels alarming,The community is fed up with the air quality feels visibly worse each day. Please ensure someone investigates and resolves this.,Pollution,"101, MG Road, Bangalore, Karnataka 560001"
Air filled with construction dust,It's really frustrating that smoke from illegal burning chokes the area. Please ensure someone investigates and resolves this.,Pollution,"101, MG Road, Bangalore, Karnataka 560001"
Unbearable smell from drains,Every day we deal with kids are falling sick due to dust and smoke. We pay taxes — where is the basic infrastructure?,Pollution,"101, MG Road, Bangalore, Karnataka 560001"
Nearby factory polluting locality,There's an ongoing issue where foul stench from a nearby outlet is unbearable. Authorities need to stop ignoring these basic needs.,Pollution,"101, MG Road, Bangalore, Karnataka 560001"
Need tax calculation review,It's really frustrating that received a notice despite paying on time last month. Please ensure someone investigates and resolves this.,Property Tax,"101, MG Road, Bangalore, Karnataka 560001"
Overcharged despite correct area,Residents are repeatedly facing staff keeps redirecting me from one counter to another. Please ensure someone investigates and resolves this.,Property Tax,"101, MG Road, Bangalore, Karnataka 560001"
Wrong late fee applied,The community is fed up with wrong arrears have been added to my bill. Authorities need to stop ignoring these basic needs.,Property Tax,"101, MG Road, Bangalore, Karnataka 560001"
Overcharged despite correct area,Residents are repeatedly facing received a notice despite paying on time last month. Hope this gets sorted without more follow-ups.,Property Tax,"101, MG Road, Bangalore, Karnataka 560001"
Tax payment system not functional,It's really frustrating that the website crashes every time I try to pay. This should not be the standard of living in our city.,Property Tax,"101, MG Road, Bangalore, Karnataka 560001"
Dark streets due to dead lights,The community is fed up with pitch dark streets invite all sorts of trouble. We pay taxes — where is the basic infrastructure?,Street Lighting,"101, MG Road, Bangalore, Karnataka 560001"
Improper lighting risking safety,There's an ongoing issue where LED lights were promised but not installed. We pay taxes — where is the basic infrastructure?,Street Lighting,"101, MG Road, Bangalore, Karnataka 560001"
Street lights not working,It's high time someone fixed LED lights were promised but not installed. Authorities need to stop ignoring these basic needs.,Street Lighting,"101, MG Road, Bangalore, Karnataka 560001"
Dark streets due to dead lights,I’ve written before about none of the street lamps are operational. This should not be the standard of living in our city.,Street Lighting,"101, MG Road, Bangalore, Karnataka 560001"
Dark streets due to dead lights,It's high time someone fixed pitch dark streets invite all sorts of trouble. We pay taxes — where is the basic infrastructure?,Street Lighting,"101, MG Road, Bangalore, Karnataka 560001"
Sewage overflowing onto roads,The community is fed up with foul water enters homes during heavy rains. Please ensure someone investigates and resolves this.,Sewage & Drainage,"101, MG Road, Bangalore, Karnataka 560001"
Choked drainage stinking up area,I'm genuinely concerned because foul water enters homes during heavy rains. We pay taxes — where is the basic infrastructure?,Sewage & Drainage,"101, MG Road, Bangalore, Karnataka 560001"
Choked drainage stinking up area,Hard to believe but dirty water flows out onto the road constantly. Authorities need to stop ignoring these basic needs.,Sewage & Drainage,"101, MG Road, Bangalore, Karnataka 560001"
Blocked drains causing flood,There's an ongoing issue where there's a blocked manhole creating flooding. This should not be the standard of living in our city.,Sewage & Drainage,"101, MG Road, Bangalore, Karnataka 560001"
Open manholes are dangerous,The community is fed up with foul water enters homes during heavy rains. Please ensure someone investigates and resolves this.,Sewage & Drainage,"101, MG Road, Bangalore, Karnataka 560001"
Unusable public toilet facility,Every day we deal with public toilet near the park is in horrible condition. Please ensure someone investigates and resolves this.,Public Sanitation,"101, MG Road, Bangalore, Karnataka 560001"
Filthy public toilets not cleaned,I'm genuinely concerned because public toilet near the park is in horrible condition. Authorities need to stop ignoring these basic needs.,Public Sanitation,"101, MG Road, Bangalore, Karnataka 560001"
Poor sanitation in market area,The community is fed up with children playing nearby are exposed to filth. Please ensure someone investigates and resolves this.,Public Sanitation,"101, MG Road, Bangalore, Karnataka 560001"
Public spaces lack sanitation,Hard to believe but no cleaning staff is ever seen in these restrooms. We pay taxes — where is the basic infrastructure?,Public Sanitation,"101, MG Road, Bangalore, Karnataka 560001"
Unusable public toilet facility,It's high time someone fixed bad odor spreads through the area from the facility. Hope this gets sorted without more follow-ups.,Public Sanitation,"101, MG Road, Bangalore, Karnataka 560001"
Roadside encroachments growing,It's high time someone fixed pedestrians walk on roads due to vendors occupying walkways. Authorities need to stop ignoring these basic needs.,Encroachment,"101, MG Road, Bangalore, Karnataka 560001"
Footpath encroached by shops,It's really frustrating that shopkeepers have extended into public property. We pay taxes — where is the basic infrastructure?,Encroachment,"101, MG Road, Bangalore, Karnataka 560001"
Roadside encroachments growing,There's an ongoing issue where shopkeepers have extended into public property. Authorities need to stop ignoring these basic needs.,Encroachment,"101, MG Road, Bangalore, Karnataka 560001"
Roadside encroachments growing,Every day we deal with pedestrians walk on roads due to vendors occupying walkways. Please ensure someone investigates and resolves this.,Encroachment,"101, MG Road, Bangalore, Karnataka 560001"
No action on encroachment issues,Residents are repeatedly facing shopkeepers have extended into public property. Hope this gets sorted without more follow-ups.,Encroachment,"101, MG Road, Bangalore, Karnataka 560001"
Park maintenance completely ignored,Every day we deal with the place looks more like a dump than a park. This should not be the standard of living in our city.,Parks & Recreation,"101, MG Road, Bangalore, Karnataka 560001"
Public park lacks basic upkeep,The community is fed up with joggers have no path due to overgrown grass. Please ensure someone investigates and resolves this.,Parks & Recreation,"101, MG Road, Bangalore, Karnataka 560001"
Park maintenance completely ignored,Hard to believe but benches are broken or missing altogether. Hope this gets sorted without more follow-ups.,Parks & Recreation,"101, MG Road, Bangalore, Karnataka 560001"
Park maintenance completely ignored,Residents are repeatedly facing joggers have no path due to overgrown grass. Authorities need to stop ignoring these basic needs.,Parks & Recreation,"101, MG Road, Bangalore, Karnataka 560001"
Damaged play equipment in park,I'm genuinely concerned because the place looks more like a dump than a park. We pay taxes — where is the basic infrastructure?,Parks & Recreation,"101, MG Road, Bangalore, Karnataka 560001"
Poor road surface affecting commuters,I’ve written before about rains have made things worse by exposing the cracks. We pay taxes — where is the basic infrastructure?,Road & Infrastructure,"202, Park Street, Kolkata, West Bengal 700016"
Severely broken road needs repair,There's an ongoing issue where there’s a stretch where autos refuse to go due to deep pits. We pay taxes — where is the basic infrastructure?,Road & Infrastructure,"202, Park Street, Kolkata, West Bengal 700016"
Severely broken road needs repair,It's high time someone fixed there’s a stretch where autos refuse to go due to deep pits. Hope this gets sorted without more follow-ups.,Road & Infrastructure,"202, Park Street, Kolkata, West Bengal 700016"
Travel becoming unsafe due to road condition,Every day we deal with rains have made things worse by exposing the cracks. Hope this gets sorted without more follow-ups.,Road & Infrastructure,"202, Park Street, Kolkata, West Bengal 700016"
Dangerous potholes damaging vehicles,Can someone explain why vehicles swerve dangerously to avoid broken patches. Authorities need to stop ignoring these basic needs.,Road & Infrastructure,"202, Park Street, Kolkata, West Bengal 700016"
Water scarcity troubling residents,It's really frustrating that water arrives only once in 2 days and that's barely a bucket. We pay taxes — where is the basic infrastructure?,Water Supply,"202, Park Street, Kolkata, West Bengal 700016"
Unreliable water supply for days,It's really frustrating that water arrives only once in 2 days and that's barely a bucket. Please ensure someone investigates and resolves this.,Water Supply,"202, Park Street, Kolkata, West Bengal 700016"
Hardly any water reaching homes,There's an ongoing issue where families here wake up early hoping to fill water but it's dry. Authorities need to stop ignoring these basic needs.,Water Supply,"202, Park Street, Kolkata, West Bengal 700016"
Erratic water timing causing trouble,There's an ongoing issue where families here wake up early hoping to fill water but it's dry. Authorities need to stop ignoring these basic needs.,Water Supply,"202, Park Street, Kolkata, West Bengal 700016"
Low pressure in municipal water line,It's really frustrating that pipes are either clogged or something is stopping regular supply. This should not be the standard of living in our city.,Water Supply,"202, Park Street, Kolkata, West Bengal 700016"
Electricity keeps going without warning,I'm genuinely concerned because we’ve had to spend nights without fans in this heat. This should not be the standard of living in our city.,Electricity,"202, Park Street, Kolkata, West Bengal 700016"
Unstable power supply daily,Can someone explain why electricity disappears at random times during the day. This should not be the standard of living in our city.,Electricity,"202, Park Street, Kolkata, West Bengal 700016"
Unstable power supply daily,I’ve written before about inverters are failing because power cuts last so long. This should not be the standard of living in our city.,Electricity,"202, Park Street, Kolkata, West Bengal 700016"
Blackouts causing major inconvenience,Hard to believe but entire blocks go dark multiple times a week. Hope this gets sorted without more follow-ups.,Electricity,"202, Park Street, Kolkata, West Bengal 700016"
Electricity keeps going without warning,Residents are repeatedly facing entire blocks go dark multiple times a week. This should not be the standard of living in our city.,Electricity,"202, Park Street, Kolkata, West Bengal 700016"
Streets littered with uncollected waste,The community is fed up with people have started burning waste out of desperation. This should not be the standard of living in our city.,Waste Management,"202, Park Street, Kolkata, West Bengal 700016"
Streets littered with uncollected waste,I'm genuinely concerned because no dustbins are visible and littering is everywhere. Hope this gets sorted without more follow-ups.,Waste Management,"202, Park Street, Kolkata, West Bengal 700016"
Solid waste not managed properly,I’ve written before about people have started burning waste out of desperation. We pay taxes — where is the basic infrastructure?,Waste Management,"202, Park Street, Kolkata, West Bengal 700016"
Solid waste not managed properly,Residents are repeatedly facing people have started burning waste out of desperation. Authorities need to stop ignoring these basic needs.,Waste Management,"202, Park Street, Kolkata, West Bengal 700016"
Garbage piling up unchecked,There's an ongoing issue where no dustbins are visible and littering is everywhere. Authorities need to stop ignoring these basic needs.,Waste Management,"202, Park Street, Kolkata, West Bengal 700016"
Need for better bus scheduling,The community is fed up with autorickshaws charge double due to lack of buses. We pay taxes — where is the basic infrastructure?,Public Transport,"202, Park Street, Kolkata, West Bengal 700016"
Infrequent buses affecting routine,It's really frustrating that elderly people struggle as buses don’t stop reliably. Hope this gets sorted without more follow-ups.,Public Transport,"202, Park Street, Kolkata, West Bengal 700016"
Overcrowded transport options,Hard to believe but commuters keep waiting endlessly with no updates. This should not be the standard of living in our city.,Public Transport,"202, Park Street, Kolkata, West Bengal 700016"
Infrequent buses affecting routine,I'm genuinely concerned because commuters keep waiting endlessly with no updates. Hope this gets sorted without more follow-ups.,Public Transport,"202, Park Street, Kolkata, West Bengal 700016"
Infrequent buses affecting routine,Every day we deal with commuters keep waiting endlessly with no updates. This should not be the standard of living in our city.,Public Transport,"202, Park Street, Kolkata, West Bengal 700016"
Doctor unavailable most times,Can someone explain why there’s no ambulance availability nearby. We pay taxes — where is the basic infrastructure?,Healthcare,"202, Park Street, Kolkata, West Bengal 700016"
Primary health center lacks resources,I’ve written before about medicine supplies are missing from the local PHC. Hope this gets sorted without more follow-ups.,Healthcare,"202, Park Street, Kolkata, West Bengal 700016"
Lack of medical support locally,It's high time someone fixed the clinic doesn’t even have proper lighting or fans. This should not be the standard of living in our city.,Healthcare,"202, Park Street, Kolkata, West Bengal 700016"
Lack of medical support locally,The community is fed up with basic check-ups take hours due to shortage of staff. Hope this gets sorted without more follow-ups.,Healthcare,"202, Park Street, Kolkata, West Bengal 700016"
Primary health center lacks resources,It's high time someone fixed medicine supplies are missing from the local PHC. This should not be the standard of living in our city.,Healthcare,"202, Park Street, Kolkata, West Bengal 700016"
School without proper facilities,I'm genuinely concerned because students carry water bottles because school doesn’t have clean water. Hope this gets sorted without more follow-ups.,Education,"202, Park Street, Kolkata, West Bengal 700016"
Poor infrastructure in local school,Every day we deal with fans and lights don’t work in the classrooms. Authorities need to stop ignoring these basic needs.,Education,"202, Park Street, Kolkata, West Bengal 700016"
Lack of teachers affecting students,There's an ongoing issue where students carry water bottles because school doesn’t have clean water. Please ensure someone investigates and resolves this.,Education,"202, Park Street, Kolkata, West Bengal 700016"
No clean water or toilet at school,The community is fed up with fans and lights don’t work in the classrooms. We pay taxes — where is the basic infrastructure?,Education,"202, Park Street, Kolkata, West Bengal 700016"
Lack of teachers affecting students,Hard to believe but children sit on the floor as there are no benches. This should not be the standard of living in our city.,Education,"202, Park Street, Kolkata, West Bengal 700016"
Law enforcement not responsive,I’ve written before about not a single policeman is seen after dark. This should not be the standard of living in our city.,Law & Order,"202, Park Street, Kolkata, West Bengal 700016"
Safety concern due to poor patrolling,Residents are repeatedly facing police station is far and rarely responds quickly. We pay taxes — where is the basic infrastructure?,Law & Order,"202, Park Street, Kolkata, West Bengal 700016"
Police presence nearly zero,Can someone explain why chain snatching has become a regular affair here. Authorities need to stop ignoring these basic needs.,Law & Order,"202, Park Street, Kolkata, West Bengal 700016"
Safety concern due to poor patrolling,It's high time someone fixed women feel unsafe walking after 7 PM. Please ensure someone investigates and resolves this.,Law & Order,"202, Park Street, Kolkata, West Bengal 700016"
Law enforcement not responsive,I'm genuinely concerned because police station is far and rarely responds quickly. Authorities need to stop ignoring these basic needs.,Law & Order,"202, Park Street, Kolkata, West Bengal 700016"
Illegal waste burning polluting air,It's really frustrating that kids are falling sick due to dust and smoke. Authorities need to stop ignoring these basic needs.,Pollution,"202, Park Street, Kolkata, West Bengal 700016"
Pollution levels alarming,The community is fed up with the air quality feels visibly worse each day. Please ensure someone investigates and resolves this.,Pollution,"202, Park Street, Kolkata, West Bengal 700016"
Air filled with construction dust,It's really frustrating that smoke from illegal burning chokes the area. Please ensure someone investigates and resolves this.,Pollution,"202, Park Street, Kolkata, West Bengal 700016"
Unbearable smell from drains,Every day we deal with kids are falling sick due to dust and smoke. We pay taxes — where is the basic infrastructure?,Pollution,"202, Park Street, Kolkata, West Bengal 700016"
Nearby factory polluting locality,There's an ongoing issue where foul stench from a nearby outlet is unbearable. Authorities need to stop ignoring these basic needs.,Pollution,"202, Park Street, Kolkata, West Bengal 700016"
Need tax calculation review,It's really frustrating that received a notice despite paying on time last month. Please ensure someone investigates and resolves this.,Property Tax,"202, Park Street, Kolkata, West Bengal 700016"
Overcharged despite correct area,Residents are repeatedly facing staff keeps redirecting me from one counter to another. Please ensure someone investigates and resolves this.,Property Tax,"202, Park Street, Kolkata, West Bengal 700016"
Wrong late fee applied,The community is fed up with wrong arrears have been added to my bill. Authorities need to stop ignoring these basic needs.,Property Tax,"202, Park Street, Kolkata, West Bengal 700016"
Overcharged despite correct area,Residents are repeatedly facing received a notice despite paying on time last month. Hope this gets sorted without more follow-ups.,Property Tax,"202, Park Street, Kolkata, West Bengal 700016"
Tax payment system not functional,It's really frustrating that the website crashes every time I try to pay. This should not be the standard of living in our city.,Property Tax,"202, Park Street, Kolkata, West Bengal 700016"
Dark streets due to dead lights,The community is fed up with pitch dark streets invite all sorts of trouble. We pay taxes — where is the basic infrastructure?,Street Lighting,"202, Park Street, Kolkata, West Bengal 700016"
Improper lighting risking safety,There's an ongoing issue where LED lights were promised but not installed. We pay taxes — where is the basic infrastructure?,Street Lighting,"202, Park Street, Kolkata, West Bengal 700016"
Street lights not working,It's high time someone fixed LED lights were promised but not installed. Authorities need to stop ignoring these basic needs.,Street Lighting,"202, Park Street, Kolkata, West Bengal 700016"
Dark streets due to dead lights,I’ve written before about none of the street lamps are operational. This should not be the standard of living in our city.,Street Lighting,"202, Park Street, Kolkata, West Bengal 700016"
Dark streets due to dead lights,It's high time someone fixed pitch dark streets invite all sorts of trouble. We pay taxes — where is the basic infrastructure?,Street Lighting,"202, Park Street, Kolkata, West Bengal 700016"
Sewage overflowing onto roads,The community is fed up with foul water enters homes during heavy rains. Please ensure someone investigates and resolves this.,Sewage & Drainage,"202, Park Street, Kolkata, West Bengal 700016"
Choked drainage stinking up area,I'm genuinely concerned because foul water enters homes during heavy rains. We pay taxes — where is the basic infrastructure?,Sewage & Drainage,"202, Park Street, Kolkata, West Bengal 700016"
Choked drainage stinking up area,Hard to believe but dirty water flows out onto the road constantly. Authorities need to stop ignoring these basic needs.,Sewage & Drainage,"202, Park Street, Kolkata, West Bengal 700016"
Blocked drains causing flood,There's an ongoing issue where there's a blocked manhole creating flooding. This should not be the standard of living in our city.,Sewage & Drainage,"202, Park Street, Kolkata, West Bengal 700016"
Open manholes are dangerous,The community is fed up with foul water enters homes during heavy rains. Please ensure someone investigates and resolves this.,Sewage & Drainage,"202, Park Street, Kolkata, West Bengal 700016"
Unusable public toilet facility,Every day we deal with public toilet near the park is in horrible condition. Please ensure someone investigates and resolves this.,Public Sanitation,"202, Park Street, Kolkata, West Bengal 700016"
Filthy public toilets not cleaned,I'm genuinely concerned because public toilet near the park is in horrible condition. Authorities need to stop ignoring these basic needs.,Public Sanitation,"202, Park Street, Kolkata, West Bengal 700016"
Poor sanitation in market area,The community is fed up with children playing nearby are exposed to filth. Please ensure someone investigates and resolves this.,Public Sanitation,"202, Park Street, Kolkata, West Bengal 700016"
Public spaces lack sanitation,Hard to believe but no cleaning staff is ever seen in these restrooms. We pay taxes — where is the basic infrastructure?,Public Sanitation,"202, Park Street, Kolkata, West Bengal 700016"
Unusable public toilet facility,It's high time someone fixed bad odor spreads through the area from the facility. Hope this gets sorted without more follow-ups.,Public Sanitation,"202, Park Street, Kolkata, West Bengal 700016"
Roadside encroachments growing,It's high time someone fixed pedestrians walk on roads due to vendors occupying walkways. Authorities need to stop ignoring these basic needs.,Encroachment,"202, Park Street, Kolkata, West Bengal 700016"
Footpath encroached by shops,It's really frustrating that shopkeepers have extended into public property. We pay taxes — where is the basic infrastructure?,Encroachment,"202, Park Street, Kolkata, West Bengal 700016"
Roadside encroachments growing,There's an ongoing issue where shopkeepers have extended into public property. Authorities need to stop ignoring these basic needs.,Encroachment,"202, Park Street, Kolkata, West Bengal 700016"
Roadside encroachments growing,Every day we deal with pedestrians walk on roads due to vendors occupying walkways. Please ensure someone investigates and resolves this.,Encroachment,"202, Park Street, Kolkata, West Bengal 700016"
No action on encroachment issues,Residents are repeatedly facing shopkeepers have extended into public property. Hope this gets sorted without more follow-ups.,Encroachment,"202, Park Street, Kolkata, West Bengal 700016"
Park maintenance completely ignored,Every day we deal with the place looks more like a dump than a park. This should not be the standard of living in our city.,Parks & Recreation,"202, Park Street, Kolkata, West Bengal 700016"
Public park lacks basic upkeep,The community is fed up with joggers have no path due to overgrown grass. Please ensure someone investigates and resolves this.,Parks & Recreation,"202, Park Street, Kolkata, West Bengal 700016"
Park maintenance completely ignored,Hard to believe but benches are broken or missing altogether. Hope this gets sorted without more follow-ups.,Parks & Recreation,"202, Park Street, Kolkata, West Bengal 700016"
Park maintenance completely ignored,Residents are repeatedly facing joggers have no path due to overgrown grass. Authorities need to stop ignoring these basic needs.,Parks & Recreation,"202, Park Street, Kolkata, West Bengal 700016"
Damaged play equipment in park,I'm genuinely concerned because the place looks more like a dump than a park. We pay taxes — where is the basic infrastructure?,Parks & Recreation,"202, Park Street, Kolkata, West Bengal 700016"
Poor road surface affecting commuters,I’ve written before about rains have made things worse by exposing the cracks. We pay taxes — where is the basic infrastructure?,Road & Infrastructure,"303, Connaught Place, New Delhi, Delhi 110001"
Severely broken road needs repair,There's an ongoing issue where there’s a stretch where autos refuse to go due to deep pits. We pay taxes — where is the basic infrastructure?,Road & Infrastructure,"303, Connaught Place, New Delhi, Delhi 110001"
Severely broken road needs repair,It's high time someone fixed there’s a stretch where autos refuse to go due to deep pits. Hope this gets sorted without more follow-ups.,Road & Infrastructure,"303, Connaught Place, New Delhi, Delhi 110001"
Travel becoming unsafe due to road condition,Every day we deal with rains have made things worse by exposing the cracks. Hope this gets sorted without more follow-ups.,Road & Infrastructure,"303, Connaught Place, New Delhi, Delhi 110001"
Dangerous potholes damaging vehicles,Can someone explain why vehicles swerve dangerously to avoid broken patches. Authorities need to stop ignoring these basic needs.,Road & Infrastructure,"303, Connaught Place, New Delhi, Delhi 110001"
Water scarcity troubling residents,It's really frustrating that water arrives only once in 2 days and that's barely a bucket. We pay taxes — where is the basic infrastructure?,Water Supply,"303, Connaught Place, New Delhi, Delhi 110001"
Unreliable water supply for days,It's really frustrating that water arrives only once in 2 days and that's barely a bucket. Please ensure someone investigates and resolves this.,Water Supply,"303, Connaught Place, New Delhi, Delhi 110001"
Hardly any water reaching homes,There's an ongoing issue where families here wake up early hoping to fill water but it's dry. Authorities need to stop ignoring these basic needs.,Water Supply,"303, Connaught Place, New Delhi, Delhi 110001"
Erratic water timing causing trouble,There's an ongoing issue where families here wake up early hoping to fill water but it's dry. Authorities need to stop ignoring these basic needs.,Water Supply,"303, Connaught Place, New Delhi, Delhi 110001"
Low pressure in municipal water line,It's really frustrating that pipes are either clogged or something is stopping regular supply. This should not be the standard of living in our city.,Water Supply,"303, Connaught Place, New Delhi, Delhi 110001"
Electricity keeps going without warning,I'm genuinely concerned because we’ve had to spend nights without fans in this heat. This should not be the standard of living in our city.,Electricity,"303, Connaught Place, New Delhi, Delhi 110001"
Unstable power supply daily,Can someone explain why electricity disappears at random times during the day. This should not be the standard of living in our city.,Electricity,"303, Connaught Place, New Delhi, Delhi 110001"
Unstable power supply daily,I’ve written before about inverters are failing because power cuts last so long. This should not be the standard of living in our city.,Electricity,"303, Connaught Place, New Delhi, Delhi 110001"
Blackouts causing major inconvenience,Hard to believe but entire blocks go dark multiple times a week. Hope this gets sorted without more follow-ups.,Electricity,"303, Connaught Place, New Delhi, Delhi 110001"
Electricity keeps going without warning,Residents are repeatedly facing entire blocks go dark multiple times a week. This should not be the standard of living in our city.,Electricity,"303, Connaught Place, New Delhi, Delhi 110001"
